,movieId,original_title
89,92,Mary Reilly
90,93,Vampire in Brooklyn
91,94,Beautiful Girls
92,95,Broken Arrow
93,96,A Midwinter's Tale
94,97,La Haine
95,98,Shopping
96,99,Heidi Fleiss: Hollywood Madam
97,100,City Hall
98,101,Bottle Rocket
99,102,Mr. Wrong
100,103,Unforgettable
101,104,Happy Gilmore
102,105,The Bridges of Madison County
103,106,Keiner liebt mich
104,107,Muppet Treasure Island
105,108,Catwalk
106,109,Headless Body in Topless Bar
107,110,Braveheart
108,111,Taxi Driver
109,112,紅番區
110,113,Before and After
111,114,Margaret's Museum
112,115,Le Bonheur est dans le pré
113,116,Anne Frank Remembered
114,117,The Young Poisoner's Handbook
115,118,If Lucy Fell
116,119,Steal Big Steal Little
117,120,Race the Sun
118,121,The Boys of St. Vincent
119,122,Boomerang
120,123,重慶森林
121,124,L'uomo delle stelle
122,125,Flirting with Disaster
123,126,The NeverEnding Story III
124,127,صمت القصور
125,128,Jupiter's Wife
126,129,Pie in the Sky
127,130,Angela
128,131,Frankie Starlight
129,132,Jade
130,133,Nueba Yol
131,134,Sonic Outlaws
132,135,Down Periscope
133,136,From the Journals of Jean Seberg
134,137,Man of the Year
135,138,The Neon Bible
136,139,Target
137,140,Up Close & Personal
138,141,The Birdcage
139,143,Gospa
140,144,The Brothers McMullen
141,145,Bad Boys
142,146,The Amazing Panda Adventure
143,147,The Basketball Diaries
144,148,An Awfully Big Adventure
145,149,Amateur
146,150,Apollo 13
147,151,Rob Roy
148,152,The Addiction
149,153,Batman Forever
150,154,Belle de jour
151,155,Beyond Rangoon
152,156,Blue in the Face
153,157,Canadian Bacon
154,158,Casper
155,159,Clockers
156,160,Congo
157,161,Crimson Tide
158,162,Crumb
159,163,Desperado
160,164,Devil in a Blue Dress
161,165,Die Hard: With a Vengeance
162,166,The Doom Generation
163,167,Feast of July
164,168,First Knight
165,169,Free Willy 2 - The Adventure Home
166,170,Hackers
167,171,Jeffrey
168,172,Johnny Mnemonic
169,173,Judge Dredd
170,174,Jury Duty
171,175,Kids
172,176,Living in Oblivion
173,177,Lord of Illusions
174,178,Love & Human Remains
175,179,Mad Love
176,180,Mallrats
177,181,Mighty Morphin Power Rangers: The Movie
178,182,Moonlight and Valentino
179,183,Mute Witness
180,184,Nadja
181,185,The Net
182,186,Nine Months
183,187,Party Girl
184,188,The Prophecy
185,189,Reckless
186,190,Safe
187,191,The Scarlet Letter
188,192,The Show
189,193,Showgirls
190,194,Smoke
191,195,Something to Talk About
192,196,Species
193,197,The Stars Fell on Henrietta
194,198,Strange Days
195,199,Les parapluies de Cherbourg
196,200,The Tie That Binds
197,201,Three Wishes
198,202,Total Eclipse
199,203,"To Wong Foo, Thanks for Everything! Julie Newmar"
200,204,Under Siege 2: Dark Territory
201,205,Unstrung Heroes
202,206,Unzipped
203,207,A Walk in the Clouds
204,208,Waterworld
205,209,White Man's Burden
206,210,Wild Bill
207,211,The Browning Version
208,212,Bushwhacked
209,213,Утомлённые солнцем
210,214,Before the Rain
211,215,Before Sunrise
212,216,Billy Madison
213,217,The Babysitter
214,218,Boys on the Side
215,219,The Cure
216,220,Castle Freak
217,222,Circle of Friends
218,223,Clerks
219,224,Don Juan DeMarco
220,225,Disclosure
221,226,Dream Man
222,227,Drop Zone
223,228,Destiny Turns on the Radio
224,229,Death and the Maiden
225,230,Dolores Claiborne
226,231,Dumb and Dumber
227,232,飲食男女
228,233,Exotica
229,234,Exit to Eden
230,235,Ed Wood
231,236,French Kiss
232,237,Forget Paris
233,238,Far from Home: The Adventures of Yellow Dog
234,239,A Goofy Movie
235,240,Hideaway
236,241,Fluke
237,242,Farinelli
238,243,Gordy
239,244,Gumby: The Movie
240,245,The Glass Shield
241,246,Hoop Dreams
242,247,Heavenly Creatures
243,248,Houseguest
244,249,Immortal Beloved
245,250,Heavyweights
246,251,The Hunted
247,252,I.Q.
248,253,Interview with the Vampire
249,254,Jefferson in Paris
250,255,The Jerky Boys
251,256,Junior
252,257,Just Cause
253,258,A Kid in King Arthur's Court
254,259,Kiss of Death
255,260,Star Wars
256,261,Little Women
257,262,A Little Princess
258,263,Ladybird Ladybird
259,264,L'Enfer
260,265,Como agua para chocolate
261,266,Legends of the Fall
262,267,Major Payne
263,268,Little Odessa
264,269,Mi Vida Loca
265,270,Love Affair
266,271,Losing Isaiah
267,272,The Madness of King George
268,273,Frankenstein
269,274,Man of the House
270,275,Mixed Nuts
271,276,Milk Money
272,277,Miracle on 34th Street
273,278,Miami Rhapsody
274,279,My Family
275,280,Murder in the First
276,281,Nobody's Fool
277,282,Nell
278,283,New Jersey Drive
279,284,New York Cop
280,285,Beyond Bedlam
281,286,Nemesis 2 - Nebula
282,287,Nina Takes a Lover
283,288,Natural Born Killers
284,289,Only You
285,290,Once Were Warriors
286,291,Poison Ivy II: Lily
287,292,Outbreak
288,293,Léon
289,294,The Perez Family
290,295,A Pyromaniac's Love Story
291,296,Pulp Fiction
292,297,Panther
293,298,Pushing Hands
294,299,Priest
295,300,Quiz Show
296,301,Picture Bride
297,302,La Reine Margot
298,303,The Quick and the Dead
299,305,Prêt-à-Porter
300,306,Trois couleurs : Rouge
301,307,Trois couleurs : Bleu
302,308,Trois couleurs : Blanc
303,309,Pao Da Shuang Deng
304,310,Rent-a-Kid
305,311,Relative Fear
306,312,Stuart Saves His Family
307,313,The Swan Princess
308,314,The Secret of Roan Inish
309,315,The Specialist
310,316,Stargate
311,317,The Santa Clause
312,318,The Shawshank Redemption
313,319,Shallow Grave
314,320,Suture
315,321,Fresa y chocolate
316,322,Swimming with Sharks
317,324,The Sum of Us
318,325,Senior Trip
319,326,活着
320,327,Tank Girl
321,328,Tales from the Crypt: Demon Knight
322,329,Star Trek: Generations
323,330,Tales from the Hood
324,331,Tom & Viv
325,332,Village of the Damned
326,333,Tommy Boy
327,334,Vanya on 42nd Street
328,335,The Underneath
329,336,The Walking Dead
330,337,What's Eating Gilbert Grape
331,338,Virtuosity
332,339,While You Were Sleeping
333,340,The War
334,341,Double Happiness
335,342,Muriel's Wedding
336,343,The Baby-Sitters Club
337,344,Ace Ventura: Pet Detective
338,345,"The Adventures of Priscilla, Queen of the Desert"
339,346,Backbeat
340,347,Bitter Moon
341,348,Bullets Over Broadway
342,349,Clear and Present Danger
343,350,The Client
344,351,"Corrina, Corrina"
345,352,Crooklyn
346,353,The Crow
347,354,Cobb
348,355,The Flintstones
349,356,Forrest Gump
350,357,Four Weddings and a Funeral
351,358,Higher Learning
352,359,I Like It Like That
353,360,I Love Trouble
354,361,It Could Happen to You
355,362,The Jungle Book
356,363,Die Macht der Bilder: Leni Riefenstahl
357,364,The Lion King
358,365,Little Buddha
359,366,New Nightmare
360,367,The Mask
361,368,Maverick
362,369,Mrs. Parker and the Vicious Circle
363,370,The Naked Gun 33⅓: The Final Insult
364,371,The Paper
365,372,Reality Bites
366,373,Red Rock West
367,374,Ri¢hie Ri¢h
368,375,Safe Passage
369,376,The River Wild
370,377,Speed
371,378,Speechless
372,379,Timecop
373,380,True Lies
374,381,When a Man Loves a Woman
375,382,Wolf
376,383,Wyatt Earp
377,384,Bad Company
378,385,A Man of No Importance
379,386,S.F.W.
380,387,A Low Down Dirty Shame
381,388,"Boys Life: Three Stories of Love, Lust, and Liberation"
382,389,Le colonel Chabert
383,390,"Faster, Pussycat! Kill! Kill!"
384,391,Jason's Lyric
385,392,The Secret Adventures of Tom Thumb
386,393,Street Fighter
387,394,Coldblooded
388,395,Desert Winds
389,396,Fall Time
390,397,The Fear
391,398,Frank and Ollie
392,399,Girl in the Cadillac
393,400,Homage
394,401,Mirage
395,402,Open Season
396,403,Dos Crímenes
397,404,Brother Minister: The Assassination of Malcolm X
398,405,Highlander III: The Sorcerer
399,406,Federal Hill
400,407,In the Mouth of Madness
401,408,8 Seconds
402,409,Above the Rim
403,410,Addams Family Values
404,411,Martin Lawrence: You So Crazy
405,412,The Age of Innocence
406,413,Airheads
407,414,The Air Up There
408,415,Another Stakeout
409,416,Bad Girls
410,417,Barcelona
411,418,Being Human
412,419,The Beverly Hillbillies
413,420,Beverly Hills Cop III
414,421,Black Beauty
415,422,Blink
416,423,Blown Away
417,424,Blue Chips
418,425,Blue Sky
419,426,Body Snatchers
420,427,Boxing Helena
421,428,A Bronx Tale
422,429,Cabin Boy
423,430,Calendar Girl
424,431,Carlito's Way
425,432,City Slickers II: The Legend of Curly's Gold
426,433,Clean Slate
427,434,Cliffhanger
428,435,Coneheads
429,436,Color of Night
430,437,Cops & Robbersons
431,438,The Cowboy Way
432,439,Dangerous Game
433,440,Dave
434,441,Dazed and Confused
435,442,Demolition Man
436,443,The Endless Summer 2
437,444,Even Cowgirls Get the Blues
438,445,Fatal Instinct
439,446,霸王别姬
440,447,The Favor
441,448,Fearless
442,449,Fear of a Black Hat
443,450,With Honors
444,451,Flesh and Bone
445,452,Widows' Peak
446,453,For Love or Money
447,454,The Firm
448,455,Free Willy
449,456,Fresh
450,457,The Fugitive
451,458,Geronimo: An American Legend
452,459,The Getaway
453,460,Getting Even with Dad
454,461,Go Fish
455,462,A Good Man in Africa
456,463,Guilty as Sin
457,464,Hard Target
458,465,Heaven & Earth
459,466,Hot Shots! Part Deux
460,467,Live Nude Girls
461,468,The Englishman Who Went Up a Hill But Came Down a Mountain
462,469,The House of the Spirits
463,470,House Party 3
464,471,The Hudsucker Proxy
465,472,I'll Do Anything
466,473,In the Army Now
467,474,In the Line of Fire
468,475,In the Name of the Father
469,476,The Inkwell
470,477,What's Love Got to Do with It
471,478,Jimmy Hollywood
472,479,Judgment Night
473,480,Jurassic Park
474,481,Kalifornia
475,482,Killing Zoe
476,483,King of the Hill
477,484,Lassie
478,485,Last Action Hero
479,486,Life With Mikey
480,487,Lightning Jack
481,488,M. Butterfly
482,489,Made in America
483,490,Malice
484,491,The Man without a Face
485,492,Manhattan Murder Mystery
486,493,Menace II Society
487,494,Executive Decision
488,495,愛のコリーダ
489,496,What Happened Was...
490,497,Much Ado About Nothing
491,498,Mr. Jones
492,499,Mr. Wonderful
493,500,Mrs. Doubtfire
494,501,Naked
495,502,The Next Karate Kid
496,503,The New Age
497,504,No Escape
498,505,North
499,506,Orlando
500,507,A Perfect World
501,508,Philadelphia
502,509,The Piano
503,510,Poetic Justice
504,511,The Program
505,512,The Puppet Masters
506,513,Radioland Murders
507,514,The Ref
508,515,The Remains of the Day
509,516,Renaissance Man
510,517,Rising Sun
511,518,The Road to Wellville
512,519,RoboCop 3
513,520,Robin Hood: Men in Tights
514,521,Romeo Is Bleeding
515,522,Romper Stomper
516,523,Ruby in Paradise
517,524,Rudy
518,525,The Saint of Fort Washington
519,526,Les Nuits Fauves
520,527,Schindler's List
521,528,The Scout
522,529,Searching for Bobby Fischer
523,530,Second Best
524,531,The Secret Garden
525,532,Serial Mom
526,533,The Shadow
527,534,Shadowlands
528,535,Short Cuts
529,536,A Simple Twist of Fate
530,537,Sirens
531,538,Six Degrees of Separation
532,539,Sleepless in Seattle
533,540,Sliver
534,541,Blade Runner
535,542,Son in Law
536,543,So I Married an Axe Murderer
537,544,Striking Distance
538,545,Harem
539,546,Super Mario Bros.
540,547,Surviving the Game
541,548,Terminal Velocity
542,549,Thirty Two Short Films About Glenn Gould
543,550,Threesome
544,551,The Nightmare Before Christmas
545,552,The Three Musketeers
546,553,Tombstone
547,554,Trial by Jury
548,555,True Romance
549,556,The War Room
550,558,The Pagemaster
551,559,"Paris, France"
552,560,"The Beans of Egypt, Maine"
553,561,Killer
554,562,Welcome to the Dollhouse
555,563,Germinal
556,564,Chasers
557,565,Cronos
558,566,Naked in New York
559,567,Kika
560,568,Bhaji on the Beach
561,569,Little Big League
562,570,Kådisbellan
563,571,Wide Eyed and Legless
564,572,Foreign Student
565,573,Io speriamo che me la cavo
566,574,Spanking the Monkey
567,575,The Little Rascals
568,576,À la mode
569,577,Andre
570,579,La scorta
571,580,Princess Caraboo
572,581,The Celluloid Closet
573,582,Métisse
574,583,Caro diario
575,584,De eso no se habla
576,585,The Brady Bunch Movie
577,586,Home Alone
578,587,Ghost
579,588,Aladdin
580,589,Terminator 2: Judgment Day
581,590,Dances with Wolves
582,591,Tough and Deadly
583,592,Batman
584,593,The Silence of the Lambs
585,594,Snow White and the Seven Dwarfs
586,595,Beauty and the Beast
587,596,Pinocchio
588,597,Pretty Woman
589,598,Окно в Париж
590,599,The Wild Bunch
591,600,Love and a .45
592,601,The Wooden Man's Bride
593,602,A Great Day in Harlem
594,603,Bye Bye Love
595,605,One Fine Day
596,606,Candyman: Farewell to the Flesh
597,607,Century
598,608,Fargo
599,609,Homeward Bound II: Lost in San Francisco
600,610,Heavy Metal
601,611,Hellraiser: Bloodline
602,612,The Pallbearer
603,613,Jane Eyre
604,614,Loaded
605,615,Pane e cioccolata
606,616,The Aristocats
607,617,La flor de mi secreto
608,618,Two Much
609,619,Ed
610,620,Schrei aus Stein
611,621,Ma saison préférée
612,623,A Modern Affair
613,624,Condition Red
614,625,Asfour Stah
615,626,A Thin Line Between Love and Hate
616,627,The Last Supper
617,628,Primal Fear
618,629,Rude
619,630,Carried Away
620,631,All Dogs Go to Heaven 2
621,632,Land and Freedom
622,633,Denise Calls Up
623,634,Theodore Rex
624,635,A Family Thing
625,636,Frisk
626,637,Sgt. Bilko
627,638,Jack & Sarah
628,639,Girl 6
629,640,Diabolique
630,641,Un indien dans la ville
631,642,Roula - Dunkle Geheimnisse
632,645,Nelly & Monsieur Arnaud
633,647,Courage Under Fire
634,648,Mission: Impossible
635,649,Á köldum klaka
636,650,Moll Flanders
637,652,삼공일 삼공이
638,653,DragonHeart
639,655,My Mother's Courage
640,656,Eddie
641,657,Yankee Zulu
642,658,Billy's Holiday
643,659,Plein soleil
644,660,August
645,661,James and the Giant Peach
646,662,Fear
647,663,Kids in the Hall: Brain Candy
648,664,Faithful
649,665,Podzemlje
650,666,Lust och fägring stor
651,667,Bloodsport II
652,668,পথের পাঁচালী
653,670,অপুর সংসার
654,671,Mystery Science Theater 3000: The Movie
655,672,Tarantella
656,673,Space Jam
657,674,Barbarella
658,675,Hostile Intentions
659,676,They Bite
660,678,Some Folks Call It a Sling Blade
661,679,The Run of the Country
662,680,"Alphaville, une étrange aventure de Lemmy Caution"
663,681,Coup de torchon
664,682,Tigrero: A Film That Was Never Made
665,683,L'oeil de Vichy
666,684,Windows
667,685,It's My Party
668,687,Country Life
669,688,Operation Dumbo Drop
670,690,Das Versprechen
674,1533,Das Versprechen
678,691,Mrs. Winterbourne
679,692,Solo
680,694,The Substitute
681,695,True Crime
682,696,Butterfly Kiss
683,697,Feeling Minnesota
684,698,Delta of Venus
685,699,To Cross the Rubicon
686,700,Angus
687,701,Daens
688,702,Faces
689,703,Boys
690,704,The Quest
691,705,Cosi
692,706,Sunset Park
693,707,Mulholland Falls
694,708,The Truth About Cats & Dogs
695,709,Oliver & Company
696,710,Celtic Pride
697,711,Flipper
698,712,Captives
699,713,Of Love and Shadows
700,714,Dead Man
701,715,Le Hussard sur le toit
702,716,Switchblade Sisters
703,717,Boca a boca
704,718,Les visiteurs
705,719,Multiplicity
706,722,"The Haunted World of Edward D. Wood, Jr."
707,723,Due Amici
708,724,The Craft
709,725,The Great White Hype
710,726,Last Dance
711,727,War Stories Our Mother Never Told Us
712,728,Cold Comfort Farm
713,729,"Institute Benjamenta, or This Dream People Call Human Life"
714,731,Heaven's Prisoners
715,732,Original Gangstas
716,733,The Rock
717,734,Getting Away with Murder
718,735,Dellamorte Dellamore
719,736,Twister
720,737,Barb Wire
721,738,Le garçu
722,739,Honigmond
723,741,GHOST IN THE SHELL
724,742,Thinner
725,743,Spy Hard
726,744,Brothers in Trouble
727,745,A Close Shave
728,746,Force of Evil
729,747,The Stupids
730,748,The Arrival
731,749,The Man from Down Under
732,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
733,751,Careful
734,752,Vermont Is for Lovers
735,753,A Month by the Lake
736,754,Gold Diggers: The Secret of Bear Mountain
737,755,Kim
738,756,Carmen Miranda: Bananas Is My Business
739,757,東邪西毒
740,758,Khomreh
741,759,Maya Lin: A Strong Clear Vision
742,760,Stalingrad
743,761,The Phantom
744,762,Striptease
745,763,The Last of the High Kings
746,764,Heavy
747,765,Jack
748,766,I Shot Andy Warhol
749,767,The Grass Harp
750,768,Tuđa Amerika
751,771,La vie est belle
752,772,Quartier Mozart
753,773,Touki-Bouki
754,774,Wend Kuuni
755,775,Histoires extraordinaires
756,776,Babyfever
757,777,Pharaoh's  Army
758,778,Trainspotting
759,779,Til There Was You
760,780,Independence Day
761,781,Stealing Beauty
762,782,The Fan
763,783,The Hunchback of Notre Dame
764,784,The Cable Guy
765,785,Kingpin
766,786,Eraser
767,787,The Gate of Heavenly Peace
768,788,The Nutty Professor
769,789,"Yo, la peor de todas"
770,790,Un été inoubliable
771,792,"Hol volt, hol nem volt"
772,793,En compagnie d'Antonin Artaud
773,794,Sibak
774,795,Somebody to Love
775,796,A Very Natural Thing
776,797,La vieille qui marchait dans la mer
777,798,Daylight
778,799,The Frighteners
779,800,Lone Star
780,801,Harriet the Spy
781,802,Phenomenon
782,803,Walking and Talking
783,804,She's the One
784,805,A Time to Kill
785,806,American Buffalo
786,807,Les Rendez-vous de Paris
787,808,Alaska
788,809,Fled
789,810,Kazaam
790,812,Bűvös vadász
791,813,Larger Than Life
792,815,Power 98
793,816,Two Deaths
794,818,A Very Brady Sequel
795,819,Stefano Quantestorie
796,820,La mort en ce jardin
797,822,Hedd Wyn
798,823,La Collectionneuse
799,824,Kaspar Hauser
800,825,Echte Kerle
801,827,O Convento
802,828,The Adventures of Pinocchio
803,829,Joe's Apartment
804,830,The First Wives Club
805,831,Stonewall
806,832,Ransom
807,833,High School High
808,834,Phat Beach
809,835,Foxfire
810,836,Chain Reaction
811,837,Matilda
812,838,Emma
813,839,The Crow: City of Angels
814,840,House Arrest
815,841,Les Yeux sans visage
816,842,Bordello of Blood
817,843,Lotto Land
818,844,The Story of Xinghua
819,846,Flirt
820,847,The Big Squeeze
821,848,The Spitfire Grill
822,849,Escape from L.A.
823,850,Xích lô
824,851,Basquiat
825,852,Tin Cup
826,853,Dingo
827,854,楢山節考
828,855,Un week-end sur deux
829,857,Wuya yu maque
830,858,The Godfather
831,860,Der bewegte Mann
832,861,警察故事 III：超級警察
833,862,Manny & Lo
834,864,Tsuma
838,134006,Tsuma
842,865,Small Faces
843,866,Bound
844,867,Carpool
845,868,Death in Brunswick
846,869,Kansas City
847,870,Gone Fishin'
848,871,Lover's Knot
849,872,愛情萬歲
850,873,Schatten der Engel
851,874,Killer: A Journal of Murder
852,875,Nothing to Lose
853,876,超级计划
854,877,Girls Town
855,878,Bye-Bye
856,879,The Relic
857,880,The Island of Dr. Moreau
858,881,First Kid
859,882,The Trigger Effect
860,884,Sweet Nothing
861,885,Bogus
862,886,Bulletproof
863,887,Talk of Angels
864,888,The Land Before Time III: The Time of the Great Giving
865,889,06
866,891,Halloween: The Curse of Michael Myers
867,892,Twelfth Night
868,893,Mother Night
869,894,Liebelei
870,895,Wenecja
871,896,Les Roseaux Sauvages
872,897,For Whom the Bell Tolls
873,898,The Philadelphia Story
874,899,Singin' in the Rain
875,900,An American in Paris
876,901,Funny Face
877,902,Breakfast at Tiffany's
878,903,Vertigo
879,904,Rear Window
880,905,It Happened One Night
881,906,Gaslight
882,907,The Gay Divorcee
883,908,North by Northwest
884,909,The Apartment
885,910,Some Like It Hot
886,911,Charade
887,912,Casablanca
888,913,The Maltese Falcon
889,914,My Fair Lady
890,915,Sabrina
891,916,Roman Holiday
892,917,The Little Princess
893,918,Meet Me in St. Louis
894,919,The Wizard of Oz
895,920,Gone with the Wind
896,921,My Favorite Year
897,922,Sunset Boulevard
898,923,Citizen Kane
899,924,2001: A Space Odyssey
900,925,Golden Earrings
901,926,All About Eve
902,927,The Women
903,928,Rebecca
904,929,Foreign Correspondent
905,930,Notorious
906,931,Spellbound
907,932,An Affair to Remember
908,933,To Catch a Thief
909,934,Father of the Bride
910,935,The Band Wagon
911,936,Ninotchka
912,937,Love in the Afternoon
913,938,Gigi
914,939,The Reluctant Debutante
915,940,The Adventures of Robin Hood
916,941,The Mark of Zorro
917,942,Laura
918,943,The Ghost and Mrs. Muir
919,944,Lost Horizon
920,945,Top Hat
921,946,To Be or Not to Be
922,947,My Man Godfrey
923,948,Giant
924,949,East of Eden
925,950,The Thin Man
926,951,His Girl Friday
927,952,Around the World in Eighty Days
928,953,It's a Wonderful Life
929,954,Mr. Smith Goes to Washington
930,955,Bringing Up Baby
931,956,Penny Serenade
932,957,The Scarlet Letter
933,958,Lady of Burlesque
934,959,Of Human Bondage
935,960,Angel on My Shoulder
936,961,Little Lord Fauntleroy
937,962,They Made Me a Criminal
938,963,The Inspector General
939,964,Angel and the Badman
940,965,The 39 Steps
941,966,A Walk in the Sun
942,967,The Outlaw
943,968,Night of the Living Dead
944,969,The African Queen
945,970,Beat the Devil
946,971,Cat on a Hot Tin Roof
947,972,The Last Time I Saw Paris
948,973,Meet John Doe
949,974,Algiers
950,975,Something to Sing About
951,976,A Farewell to Arms
955,77141,A Farewell to Arms
959,977,Moonlight Murder
960,979,Nothing Personal
961,980,Huang jia shi jie
962,981,Dangerous Ground
963,982,Picnic
964,983,Madagascar Skin
965,984,The Pompatus of Love
966,985,Small Wonders
967,986,Fly Away Home
968,987,Bliss
969,988,Grace of My Heart
970,989,Schlafes Bruder
971,990,Maximum Risk
972,991,Michael Collins
973,992,The Rich Man's Wife
974,993,Infinity
975,994,Big Night
976,996,Last Man Standing
977,997,Caught
978,998,Set It Off
979,999,2 Days in the Valley
980,1000,Curdled
981,1001,L'associé
982,1002,Ed's Next Move
983,1003,Extreme Measures
984,1004,The Glimmer Man
985,1005,D3: The Mighty Ducks
986,1006,The Chamber
987,1007,The Apple Dumpling Gang
988,1008,"Davy Crockett, King of the Wild Frontier"
989,1009,Escape to Witch Mountain
990,1010,The Love Bug
991,1011,Herbie Rides Again
992,1012,Old Yeller
993,1013,The Parent Trap
994,1014,Pollyanna
995,1015,Homeward Bound: The Incredible Journey
996,1016,The Shaggy Dog
997,1017,Swiss Family Robinson
998,1018,That Darn Cat!
999,1019,"20,000 Leagues Under the Sea"
1000,1020,Cool Runnings
1001,1021,Angels in the Outfield
1002,1022,Cinderella
1003,1023,Winnie the Pooh and the Blustery Day
1004,1024,The Three Caballeros
1005,1025,The Sword in the Stone
1006,1026,So Dear to My Heart
1007,1027,Robin Hood: Prince of Thieves
1008,1028,Mary Poppins
1009,1029,Dumbo
1010,1030,Pete's Dragon
1011,1031,Bedknobs and Broomsticks
1012,1032,Alice in Wonderland
1013,1033,The Fox and the Hound
1014,1034,Freeway
1015,1035,The Sound of Music
1016,1036,Die Hard
1017,1037,The Lawnmower Man
1018,1038,Unhook the Stars
1019,1039,Synthetic Pleasures
1020,1040,The Secret Agent
1021,1041,Secrets & Lies
1022,1042,That Thing You Do!
1023,1043,To Gillian on Her 37th Birthday
1024,1044,Surviving Picasso
1025,1045,Love Is All There Is
1026,1046,Beautiful Thing
1027,1047,The Long Kiss Goodnight
1028,1049,The Ghost and the Darkness
1029,1050,Looking for Richard
1030,1051,Trees Lounge
1031,1053,Normal Life
1032,1054,Get on the Bus
1033,1055,Shadow Conspiracy
1034,1056,Jude
1035,1057,Everyone Says I Love You
1036,1058,Azúcar amarga
1037,1059,Romeo + Juliet
1038,1060,Swingers
1039,1061,Sleepers
1040,1062,The Sunchaser
1041,1063,Johns
1042,1064,Aladdin and the King of Thieves
1043,1065,The Woman in Question
1044,1066,Shall We Dance
1045,1067,A Damsel in Distress
1046,1068,Crossfire
1047,1069,"Murder, My Sweet"
1048,1070,Macao
1049,1071,For the Moment
1050,1073,Willy Wonka & the Chocolate Factory
1051,1075,La vie sexuelle des Belges 1950-1978
1052,1076,The Innocents
1053,1077,Sleeper
1054,1078,Bananas
1055,1079,A Fish Called Wanda
1056,1080,Life of Brian
1057,1081,Victor/Victoria
1058,1082,The Candidate
1059,1083,The Great Race
1060,1084,Bonnie and Clyde
1061,1085,The Old Man and the Sea
1062,1086,Dial M for Murder
1063,1087,Madame Butterfly
1064,1088,Dirty Dancing
1065,1089,Reservoir Dogs
1066,1090,Platoon
1067,1091,Weekend at Bernie's
1068,1092,Basic Instinct
1069,1093,The Doors
1070,1094,The Crying Game
1071,1095,Glengarry Glen Ross
1072,1096,Sophie's Choice
1073,1097,E.T. the Extra-Terrestrial
1074,1098,The Search for One-eye Jimmy
1075,1099,A Christmas Carol
1076,1100,Days of Thunder
1077,1101,Top Gun
1078,1102,American Strays
1079,1103,Rebel Without a Cause
1080,1104,A Streetcar Named Desire
1081,1105,Children of the Corn IV: The Gathering
1082,1106,The Leopard Son
1083,1109,Charms Zwischenfälle
1084,1111,Microcosmos : Le Peuple de l'herbe
1085,1112,Palookaville
1086,1113,The Associate
1087,1114,The Funeral
1088,1115,The Sleepover
1089,1116,La fille seule
1090,1117,Le huitième jour
1091,1118,North Star
1092,1119,Drunks
1093,1120,The People vs. Larry Flynt
1094,1121,Glory Daze
1095,1123,A Perfect Candidate
1096,1124,On Golden Pond
1097,1125,The Return of the Pink Panther
1098,1126,Drop Dead Fred
1099,1127,The Abyss
1100,1128,The Fog
1101,1129,Escape from New York
1102,1130,The Howling
1103,1131,Jean de Florette
1104,1132,Manon des Sources
1105,1134,Johnny cien pesos
1106,1135,Private Benjamin
1107,1136,Monty Python and the Holy Grail
1108,1137,Hustler White
1109,1138,Dadetown
1110,1139,Everything Relative
